id,titulo,categoria,descripcion
31,El club de la pelea,Suspenso,"Un oficinista insatisfecho encuentra una válvula de escape en un misterioso guerrero creando un club clandestino que desata una ola de caos y reflexión sobre la sociedad moderna."
32,Seven,Suspenso,"Dos detectives persiguen a un asesino en serie que basa sus crímenes en los siete pecados capitales. La oscura investigación los llevará a un final perturbador."
33,El silencio de los corderos,Suspenso,"Una joven agente del FBI solicita la ayuda de un brillante psiquiatra caníbal para atrapar a otro asesino en serie. El intercambio psicológico se vuelve peligrosamente adictivo."
34,La chica del dragón tatuado,Suspenso,"Un periodista y una hacker se unen para investigar la desaparición de una joven de una familia poderosa. El caso destapa oscuros secretos y violencia oculta."
35,Identidad,Misterio,"Un grupo de desconocidos queda atrapado en un motel durante una tormenta y comienzan a ser asesinados uno a uno. La verdad sobre sus identidades cambiará todo."
36,El sexto sentido,Misterio,"Un niño asegura ver personas muertas que no saben que han fallecido. Un psicólogo intenta ayudarlo mientras enfrenta sus propios fantasmas del pasado."
37,Los sospechosos habituales,Misterio,"Un presunto delincuente relata a la policía los detalles de un golpe que terminó en masacre. La historia se enreda hasta un desenlace que lo cambia todo."
38,Origen,Misterio,"Un hombre despierta sin recuerdos en una nave espacial con otros supervivientes. Juntos deben descubrir por qué están allí antes de que el oxígeno se agote."
39,El hombre sin pasado,Misterio,"Un hombre aparece en una ciudad costera sin memoria ni identidad. Mientras intenta reconstruir su vida descubre que su pasado lo persigue con consecuencias letales."
40,El código Da Vinci,Misterio,"Un simbólogo y una criptógrafa investigan un asesinato que los lleva a una conspiración que podría sacudir los cimientos de la fe cristiana y revelar un secreto milenario."
41,La llegada,Ciencia ficción,"Una lingüista es reclutada para comunicarse con extraterrestres que han aterrizado en la Tierra. Su trabajo podría evitar una guerra y cambiar la percepción del tiempo."
42,Ex Machina,Ciencia ficción,"Un programador participa en un experimento para evaluar la conciencia de una inteligencia artificial avanzada. Lo que descubre lo lleva a cuestionar la ética y la humanidad."
43,District 9,Ciencia ficción,"Una nave extraterrestre queda varada en Sudáfrica y sus ocupantes son confinados en un campo. Un funcionario que los supervisa se ve envuelto en una transformación inesperada."
44,Deja Vu,Ciencia ficción,"Un agente especial usa tecnología avanzada para viajar en el tiempo y evitar un atentado. Pero el pasado no se deja cambiar sin consecuencias."
45,The Space Between Us,Ciencia ficción,"Un joven nacido en Marte viaja a la Tierra por primera vez para encontrar a su padre biológico. En el camino descubre el amor, la gravedad y su propio origen."
46,El favor de las hadas,Fantasía,"Una joven descubre que es la heredera de un reino mágico oculto. Con la ayuda de criaturas fantásticas deberá reclamar su trono frente a una oscura amenaza."
47,El laberinto del fauno,Fantasía,"En la España de posguerra una niña conoce a un fauno que la guía en un mundo mágico. Deberá superar pruebas para demostrar su esencia y escapar de la brutal realidad."
48,La brújula dorada,Fantasía,"Una niña viaja a un mundo donde los humanos tienen almas que toman forma animal. Descubre una conspiración que amenaza la libertad de todos los seres."
49,El niño que domó el viento,Drama,"Un joven de un pueblo empobrecido construye un molino de viento con chatarra para salvar a su comunidad de la sequía. Su ingenio desafía todas las expectativas."
50,La vida secreta de Walter Mitty,Aventura,"Un soñador empedernido se embarca en un viaje real alrededor del mundo para encontrar a un fotógrafo desaparecido. La aventura lo transforma por completo."
51,El indomable,Aventura,"Un cazador de pieles en el siglo XIX sobrevive a un ataque brutal y a las inclemencias de la naturaleza empujado por la sed de venganza y su feroz instinto."
52,Los juegos del hambre,Ciencia ficción,"En un futuro distópico dos jóvenes son seleccionados para participar en un torneo a muerte transmitido en vivo. Su rebelión inspira a todo un pueblo oprimido."
53,Divergente,Acción,"En una sociedad dividida por facciones una joven no encaja en ninguna. Su condición la convierte en objetivo y en la clave para desmontar el sistema."
54,El corredor del laberinto,Ciencia ficción,"Un grupo de jóvenes despierta en un laberinto gigante sin memoria. Deben encontrar la salida mientras enfrentan criaturas mortales y conspiraciones externas."
55,La guerra de los mundos,Ciencia ficción,"Una invasión extraterrestre arrasa el planeta. Un padre común debe proteger a sus hijos en medio del caos y la desesperación."
56,Independence Day,Ciencia ficción,"La humanidad se enfrenta a una invasión alienígena masiva. Un piloto, un científico y el presidente lideran la contraofensiva en el día más decisivo de la historia."
57,El día de la bestia,Terror,"Un sacerdote y un aficionado al metal investigan señales del fin del mundo. Descubren que el Anticristo nacerá en Madrid y planean impedirlo con métodos poco ortodoxos."
58,El orfanato,Terror,"Una mujer regresa al orfanato donde creció para reabrirlo con su familia. Pronto descubre que la casa guarda secretos y presencias que reclaman justicia."
59,La bruja,Terror,"Una familia puritana en el siglo XVII es desterrada a un bosque. Comienzan a sufrir extraños fenómenos que los llevan a la locura y la paranoia."
60,El aro,Terror,"Una periodista investiga una cinta de video maldita que mata a quien la ve. Descubrirá que la maldición tiene un origen trágico y una sed de venganza."
61,El proyecto de la bruja de Blair,Terror,"Tres estudiantes desaparecen mientras filman un documental sobre una leyenda local en el bosque. Su metraje encontrado muestra el terror que vivieron."
62,La noche de los muertos vivientes,Terror,"Un grupo de personas se refugia en una casa mientras los muertos vuelven a la vida con hambre de carne humana. La tensión crece entre los supervivientes."
63,Psicosis,Terror,"Una joven huye con dinero robado y se hospeda en un motel regentado por un hombre de conducta inquietante. La noche se convierte en una pesadilla imborrable."
64,El resplandor,Terror,"Un escritor acepta cuidar un hotel aislado durante el invierno. La soledad y los fantasmas del lugar desatan su locura con consecuencias aterradoras."
65,El exorcista,Terror,"Una niña de 12 años muestra signos de posesión demoníaca. Su madre recurre a dos sacerdotes para librarla del mal en una de las batallas más intensas del cine."
66,La forma del agua,Fantasía,"En plena Guerra Fría una limpiadora muda se enamora de una criatura anfibia cautiva en un laboratorio. Su amor desafía las barreras y el peligro."
67,El gran pez,Fantasía,"Un hijo intenta reconciliarse con su padre moribundo a través de las increíbles historias que este le contó. La línea entre realidad y fantasía se desdibuja."
68,Stardust,Fantasía,"Un joven promete conseguir una estrella caída para la mujer que ama. Su viaje lo lleva a un reino mágico lleno de piratas, brujas y príncipes."
69,El castillo ambulante,Fantasía,"Una joven sombrerera es maldecida y transformada en anciana. Encuentra refugio en un castillo ambulante y se ve envuelta en una guerra mágica."
70,La princesa Mononoke,Fantasía,"Un príncipe herido se ve atrapado en el conflicto entre los dioses del bosque y los humanos que explotan sus recursos. Busca la paz en medio de la destrucción."
71,El gigante de hierro,Ciencia ficción,"Un niño encuentra un robot gigante caído del cielo en plena Guerra Fría. Su amistad con la máquina desafía los miedos y prejuicios de la época."
72,Wall-E,Animación,"Un pequeño robot quedó solo en la Tierra para limpiar la basura. Su vida cambia cuando llega una sonda espacial y descubre el amor y la esperanza."
73,Up,Animación,"Un anciano viaja a Sudamérica con su casa elevada por globos para cumplir una promesa. Un niño explorador se une a su inesperada aventura."
74,Ratatouille,Animación,"Una rata con talento culinario sueña con ser chef en París. Con la ayuda de un joven cocinero demuestra que el talento no entiende de especies."
75,Los increíbles,Animación,"Una familia de superhéroes retirados debe volver a la acción para detener a un villano que amenaza el mundo mientras lidian con sus problemas cotidianos."
76,Monsters Inc.,Animación,"Dos monstruos trabajan en una fábrica de sustos pero una niña humana se cuela en su mundo y pone patas arriba su vida y su amistad."
77,Buscando a Nemo,Animación,"Un padre pez atraviesa el océano para rescatar a su hijo capturado por un buceador. En el camino encuentra aliados inesperados."
78,Kung Fu Panda,Animación,"Un panda torpe y glotón es elegido como el guerrero dragón para salvar el valle. Debe superar sus limitaciones y aprender el verdadero kung fu."
79,El libro de la selva,Aventura,"Un niño criado por lobos en la selva debe enfrentar al temible tigre Shere Khan. Con la ayuda de sus amigos animales descubre su verdadera identidad."
80,Tarzán,Aventura,"Un hombre criado por gorilas en la selva conoce a una exploradora y debe decidir si pertenece al mundo de los humanos o a la naturaleza que lo crió."
81,El planeta de los simios (2011),Ciencia ficción,"Un científico busca una cura para el Alzheimer y crea a un simio con inteligencia avanzada. El animal lidera una rebelión que cambiará el orden del mundo."
82,El amanecer del planeta de los simios,Ciencia ficción,"Años después de la pandemia los simios y los humanos supervivientes intentan convivir. La desconfianza y la violencia amenazan con destruir esa frágil paz."
83,La guerra del planeta de los simios,Ciencia ficción,"César lidera a su tribu en una guerra final contra los humanos. La batalla pondrá a prueba su humanidad y el futuro de ambas especies."
84,El fugitivo,Acción,"Un médico es acusado del asesinato de su esposa y se convierte en fugitivo. Mientras lo persiguen intenta encontrar al verdadero culpable y demostrar su inocencia."
85,El protector,Acción,"Un experto en artes marciales de Tailandia debe recuperar a su elefante y a su aldea robados. Enfrenta a una red criminal en una lucha sin cuartel."
86,El último samurái,Acción,"Un militar estadounidense es capturado por samuráis y aprende su código de honor. Se ve envuelto en una guerra donde deberá elegir entre dos mundos."
87,Braveheart,Acción,"Un guerrero escocés lidera una rebelión contra el rey de Inglaterra en el siglo XIII. Su valentía inspira a su pueblo aunque el precio sea muy alto."
88,El patriota,Acción,"Un granjero pacifista se ve obligado a unirse a la guerra de Independencia de Estados Unidos tras la pérdida de su hijo. Su sed de venganza lo transforma."
89,El señor de los anillos: La comunidad del anillo,Fantasía,"Un joven hobbit hereda un anillo mágico que debe destruirse en la montaña del mal. Junto a una hermandad emprende un viaje épico lleno de peligros."
90,El señor de los anillos: Las dos torres,Fantasía,"La hermandad se divide mientras la guerra se extiende. Los héroes luchan contra las fuerzas oscuras y forjan alianzas inesperadas."
91,El señor de los anillos: El retorno del rey,Fantasía,"El ejército de Sauron asedia la ciudad de Gondor. Los héroes deben unir todas sus fuerzas en una batalla final por la libertad de la Tierra Media."
92,El hobbit: Un viaje inesperado,Fantasía,"Un hobbit es reclutado por un grupo de enanos para recuperar su reino perdido de manos del dragón Smaug. El viaje lo convertirá en leyenda."
93,El hobbit: La desolación de Smaug,Fantasía,"Los enanos continúan su travesía hacia la montaña solitaria enfrentando peligros y al propio dragón. Un hobbit descubre su valentía interior."
94,El hobbit: La batalla de los cinco ejércitos,Fantasía,"La guerra estalla entre enanos, elfos, humanos y orcos. El hobbit deberá mediar para evitar la destrucción total de la región."
95,El gran Gatsby,Drama,"Un millonario misterioso celebra fiestas deslumbrantes en los años 20 para reconquistar al amor de su juventud. Su obsesión lo lleva a la tragedia."
96,El lobo de Wall Street,Drama,"Un corredor de bolsa asciende al éxito mediante el fraude y los excesos. Su vida de lujo y drogas termina en un colapso judicial y personal."
97,El irlandés,Crimen,"Un matón a sueldo recuerda su participación en la desaparición de un líder sindical. Su lealtad a la mafia pone en riesgo a su familia y su vida."
98,Los infiltrados,Suspenso,"Un policía se infiltra en la mafia mientras un mafioso se infiltra en la policía. Ambos deben descubrirse antes de que sus identidades sean reveladas."
99,El padrino,Crimen,"El patriarca de una familia mafiosa pasa el testigo a su hijo menor en un momento de guerra entre clanes. El poder y la lealtad se pagan con sangre."
100,El padrino II,Crimen,"La historia alterna entre el ascenso del joven Vito Corleone en Nueva York y la lucha de su hijo Michael por mantener el imperio familiar en medio de traiciones."
101,El padrino III,Crimen,"Un Michael Corleone envejecido intenta legitimar el imperio familiar pero el pasado y las traiciones lo persiguen en un final trágico para la dinastía."
102,Goodfellas,Crimen,"Un joven de clase trabajadora asciende en la mafia neoyorquina hasta convertirse en un hombre de confianza. La violencia y la paranoia marcan su carrera."
103,Casino,Crimen,"Un apostador experto es enviado a Las Vegas para controlar un casino de la mafia. El dinero, el poder y el amor lo arrastran a una espiral destructiva."
104,Scarface,Crimen,"Un refugiado cubano se convierte en el narcotraficante más poderoso de Miami pero su arrogancia y su adicción lo llevan a la autodestrucción."
105,Atrapame si puedes,Drama,"Un joven estafador logra falsificar cheques y hacerse pasar por piloto, médico y abogado. Un agente del FBI lo persigue en un juego de astucia y soledad."
106,El aviador,Drama,"La vida del magnate Howard Hughes desde su éxito en el cine y la aviación hasta su lucha contra el trastorno obsesivo-compulsivo y su aislamiento."
107,El renacido,Drama,"Un trampero sobrevive a un ataque de oso y es abandonado por su compañero. Su sed de venganza lo lleva a recorrer el salvaje oeste en condiciones extremas."
108,12 años de esclavitud,Drama,"Un hombre libre es secuestrado y vendido como esclavo en el sur de Estados Unidos. Durante doce años lucha por preservar su dignidad y recuperar su libertad."
109,La lista de Schindler,Drama,"Un empresario alemán salva a más de mil judíos durante el Holocausto empleándolos en su fábrica. Su transformación moral lo convierte en un héroe inesperado."
110,El niño con el pijama de rayas,Drama,"El hijo de un comandante nazi entabla amistad con un niño judío al otro lado de la alambrada. Su inocencia los lleva a un desenlace devastador."
111,La vida es bella,Drama,"Un padre judío utiliza su imaginación para proteger a su hijo del horror de un campo de concentración convirtiendo la realidad en un juego."
112,El discurso del rey,Drama,"El rey Jorge VI lucha contra su tartamudez con la ayuda de un terapeuta poco convencional. Juntos preparan su discurso para guiar a Inglaterra en la guerra."
113,El escritor fantasma,Suspenso,"Un escritor fantasma es contratado para terminar las memorias de un ex primer ministro británico. Descubre secretos que ponen su vida en peligro."
114,El buen pastor,Suspenso,"Un agente de la CIA vive una doble vida mientras su familia desconfía de su trabajo. Los límites entre la lealtad al país y a los suyos se difuminan."
115,El informe pelícano,Suspenso,"Una estudiante de derecho investiga un asesinato que vincula a altos cargos del gobierno. Su vida corre peligro al acercarse a la verdad."
116,La huida,Acción,"Un joven conduce a su hermano discapacitado a través de carreteras peligrosas para escapar de una amenaza. La velocidad y la lealtad son sus únicas armas."
117,El transporte,Acción,"Un exmercenario acepta un trabajo como conductor para una red criminal. Las reglas son claras pero los pasajeros siempre complican el viaje."
118,Duro de matar,Acción,"Un policía de Nueva York asiste a una fiesta navideña en un rascacielos que es tomado por terroristas. Solo y sin armas deberá frustrar sus planes."
119,Arma letal,Acción,"Una pareja de detectives de personalidades opuestas investiga un caso de narcotráfico. La violencia y el humor se mezclan en una peligrosa alianza."
120,La jungla de cristal,Acción,"Un policía se enfrenta a terroristas en un edificio de oficinas durante la víspera de Navidad. Su ingenio y resistencia lo convierten en un héroe inesperado."
121,Terminator 2: El juicio final,Ciencia ficción,"Un androide del futuro regresa para proteger a un joven que será el líder de la resistencia humana. Juntos luchan contra una máquina aún más avanzada."
122,Depredador,Ciencia ficción,"Un equipo de comandos es cazado en la selva por una criatura extraterrestre que utiliza tecnología avanzada. La lucha por sobrevivir se vuelve personal."
123,Alien el octavo pasajero,Ciencia ficción,"La tripulación de una nave espacial despierta a un extraterrestre letal tras una señal de auxilio. La criatura los caza uno a uno en el espacio profundo."
124,Aliens: El regreso,Ciencia ficción,"La teniente Ripley regresa al planeta donde encontraron al Alien esta vez acompañada de soldados coloniales. La misión de rescate se convierte en una guerra."
125,El quinto elemento,Ciencia ficción,"Un taxista del futuro debe proteger a la quinta esencia una joven que podría salvar la Tierra de una fuerza oscura. Juntos viven una aventura surrealista."
126,Los cazafantasmas,Comedia,"Un grupo de científicos excéntricos funda una empresa para atrapar fantasmas en Nueva York. El caos sobrenatural se convierte en su día a día."
127,Los cazafantasmas II,Comedia,"Los cazafantasmas regresan para enfrentar una ola de negatividad que amenaza la ciudad. Deberán usar sus ingeniosos dispositivos contra el mal."
128,Elf,Comedia,"Un humano criado por elfos en el Polo Norte viaja a Nueva York para encontrar a su padre biológico. Su inocencia choca con la vida moderna."
129,El hombre de la luna,Comedia,"Un comediante fracasado finge su propio secuestro para salvar su carrera. El engaño se complica cuando todos empiezan a creer en la historia."
130,La boda de mi mejor amigo,Comedia,"Una mujer se da cuenta de que ama a su mejor amigo justo cuando él anuncia su boda. Hará todo lo posible por arruinarla sin perder su amistad."
131,¿Y dónde están las rubias?,Comedia,"Dos agentes del FBI se disfrazan de ricas herederas para protegerlas de un secuestro. El caucho y los tacones se vuelven sus mejores aliados."
132,Superbad,Comedia,"Dos adolescentes intentan conseguir alcohol para una fiesta con la esperanza de impresionar a sus compañeras. La noche se convierte en una locura."
133,Resacón en Las Vegas,Comedia,"Tres amigos despiertan en Las Vegas después de una despedida de soltero sin recordar nada. Deben reconstruir la noche para encontrar al novio desaparecido."
134,Los padres de ella,Comedia,"Un novio conoce a los padres de su prometida y descubre que son un agente de la CIA y un cirujano. La cena de presentación se vuelve una prueba de fuego."
135,The Heat,Comedia,"Una agente del FBI estricta se alía con una policía caótica para derribar a un narcotraficante. Los choques de personalidad generan situaciones hilarantes."
136,Ted,Comedia,"Un hombre adulto mantiene una amistad con su oso de peluche que cobró vida cuando era niño. El muñeco gamberro amenaza su relación sentimental."
137,La máquina del tiempo,Comedia,"Un inventor viaja al futuro y descubre que la humanidad está dividida entre élites y seres subterráneos. Debe encontrar la forma de cambiar el curso de la historia."
138,El viaje de Gulliver,Comedia,"Un viajero es arrastrado a la isla de Liliput donde es un gigante entre personas diminutas. Su aventura lo lleva a reflexionar sobre su propio mundo."
139,El gran dictador,Comedia,"Un humilde barbero judío es confundido con el dictador de un país ficticio. Su discurso final se convierte en un himno a la humanidad y la paz."
140,La vida de Brian,Comedia,"Un hombre judío nacido el mismo día que Jesús es confundido con el Mesías. Su vida se convierte en una parodia de la religión y el poder."
141,El sentido de la vida,Comedia,"Un viaje surrealista por las etapas de la vida humana desde el nacimiento hasta la muerte con el humor absurdo que caracteriza a sus creadores."
142,El gran corto,Drama,"Un grupo de inversores apuesta contra el mercado inmobiliario en 2008. Descubren la burbuja financiera que desatará una crisis global."
143,El escándalo,Drama,"Un juez conservador es acusado de abuso sexual durante sus audiencias de confirmación. El caso polariza la opinión pública y revela verdades incómodas."
144,El caso Watergate,Drama,"Dos periodistas investigan un robo en el edificio Watergate que destapa una conspiración política. Su trabajo cambia la historia de Estados Unidos."
145,El joven manos de tijera,Fantasía,"Un androide con tijeras por manos es adoptado por una familia en un barrio residencial. Su habilidad para la jardinería y el amor lo transforman."
146,El extraño mundo de Jack,Fantasía,"El rey de Halloween descubre la Navidad y decide robarla para sí mismo. Su plan genera un caos festivo entre lo macabro y lo alegre."
147,La novia cadáver,Fantasía,"Un joven se casa accidentalmente con una novia cadáver durante un ensayo. La comedia musical explora el amor entre dos mundos."
148,El castillo en el cielo,Fantasía,"Una joven con un cristal mágico es perseguida por el gobierno y piratas. Un chico la ayuda a encontrar el legendario castillo flotante."
149,La princesa y el sapo,Animación,"Una joven besa a un sapo creyendo que es un príncipe pero el hechizo la convierte a ella también en sapo. Juntos buscan romper la maldición."
150,Enredados,Animación,"Una princesa con cabello mágico es encerrada en una torre. Un ladrón la ayuda a descubrir el mundo exterior y su verdadera identidad."
151,Frozen,Animación,"Dos hermanas una con poderes de hielo deben reconciliarse para salvar su reino. El amor verdadero rompe el hechizo del invierno eterno."
152,Moana,Animación,"Una joven navegante desafía las tradiciones para salvar su isla. Viaja por el océano con un semidiós para restaurar el corazón de la naturaleza."
153,Zootopia,Animación,"Una coneja policía y un zorro estafador se unen para resolver un caso de desapariciones en una ciudad de animales. Descubren una conspiración más grande."
154,Soul,Animación,"Un músico de jazz sufre un accidente y su alma viaja al mundo antes de nacer. Debe encontrar su pasión mientras enseña a otros a descubrir la suya."
155,Luca,Animación,"Dos amigos monstruos marinos se disfrazan de humanos para explorar la tierra durante el verano. Su amistad y secretos los unen para siempre."
156,Red,Animación,"Una adolescente se transforma en un panda rojo gigante cada vez que se emociona. Aprende a gestionar sus sentimientos y su herencia familiar."
157,Encanto,Animación,"Una familia en Colombia posee poderes mágicos pero la única hija sin don debe salvar la magia de su hogar cuando esta comienza a fallar."
158,El gato con botas,Animación,"Un gato espadachín busca su honor perdido en una aventura que lo lleva a enfrentar gigantes y villanos con astucia y carisma."
159,Shrek 2,Animación,"Shrek y Fiona son invitados al reino de los padres de ella. Las expectativas y los prejuicios pondrán a prueba su amor y su amistad con Burro."
160,Shrek Tercero,Animación,"Shrek debe encontrar un heredero para el trono de Muy Muy Lejano mientras enfrenta una rebelión encabezada por el Príncipe Encantador."
161,Shrek para siempre,Animación,"Shrek hace un trato con el duende Rumpelstiltskin para recuperar su vida de ogro solitario pero termina en una realidad alterna que debe corregir."
162,Los pingüinos de Madagascar,Animación,"Los pingüinos Skipper, Kowalski, Rico y Private se enfrentan al malvado Dr. Octavius en una misión para salvar el mundo desde el Polo Sur."
163,Madagascar,Animación,"Un grupo de animales del zoo de Nueva York escapa y termina en la isla de Madagascar donde descubren la vida salvaje y la amistad."
164,Madagascar 2,Animación,"Los animales intentan regresar a Nueva York pero terminan en África donde Alex reencuentra a su familia y enfrenta desafíos de la sabana."
165,Madagascar 3,Animación,"Los fugitivos se unen a un circo europeo para regresar a Nueva York. Descubren el arte del espectáculo y la importancia de tener un hogar."
166,Los Minions,Animación,"Los minions buscan al villano más malvado para servirle. Su viaje los lleva a la coronación de Scarlet Overkill en la Inglaterra de los 60."
167,El origen de los guardianes,Animación,"Santa Claus, el Conejo de Pascua, el Hada de los Dientes y otros guardianes deben proteger a los niños del temible Pesadilla."
168,La Lego película,Animación,"Un humilde constructor de Lego es elegido para detener a un tirano que quiere congelar el mundo. Descubre que la creatividad es su mayor poder."
169,La Lego película 2,Animación,"Los héroes de Lego enfrentan una nueva amenaza desde el espacio. Deben unir fuerzas para salvar su mundo y aprender a trabajar en equipo."
170,Sonic la película,Animación,"Sonic el erizo llega a la Tierra y se alía con un policía para enfrentar al malvado Dr. Robotnik. Su velocidad será clave en la batalla."
171,Sonic 2,Animación,"Sonic enfrenta a nuevos villanos con la ayuda de Tails y Knuckles. Juntos protegen una esmeralda mágica del malvado Robotnik."
172,Detective Pikachu,Animación,"Un joven y un Pikachu que habla investigan la desaparición de su padre en un mundo donde los pokémon conviven con los humanos."
173,Super Mario Bros,Animación,"Los fontaneros Mario y Luigi viajan al Reino Champiñón para rescatar a la Princesa Peach del malvado Bowser. La aventura es un viaje colorido."
174,El malvado,Animación,"Elphaba una joven de piel verde descubre su poder mágico y se enfrenta al Mago de Oz. La historia revela los orígenes de la Bruja Malvada del Oeste."
175,Wish,Animación,"Una joven llamada Asha pide un deseo a una estrella y desata una fuerza mágica que pone en peligro su reino. La valentía y la esperanza la guían."
176,Elementos,Animación,"En una ciudad donde conviven elementos como fuego, agua, tierra y aire una joven de fuego descubre el amor con un chico de agua desafiando las reglas."
177,Lightyear,Animación,"El origen del famoso astronauta Buzz Lightyear. Su misión en un planeta distante lo lleva a enfrentar el tiempo y su propio legado."
178,Soul,Animación,"Un músico de jazz muere accidentalmente y su alma viaja al mundo antes de nacer. Aprende que la vida es más que la pasión y el éxito."
179,Inside Out 2,Animación,"Las emociones de Riley se enfrentan a nuevas inquietudes cuando llega la adolescencia. Ansiedad, Envidia y Aburrimiento se unen al equipo."
180,Del revés,Animación,"Las emociones de una niña se ven alteradas cuando su familia se muda a San Francisco. Alegría y Tristeza deben trabajar juntas para ayudarla."
181,Bichos,Animación,"Una colonia de hormigas rebeldes se enfrenta a un ejército de saltamontes con la ayuda de un grupo de insectos marginados. La solidaridad triunfa."
182,Antz,Animación,"Una hormiga trabajadora cuestiona el sistema de su colonia y lidera una rebelión contra la tiranía de la hormiga reina. La libertad es el premio."
